,s_name,en_name,lon,lat
113,Carya illinoinensis,Pecan,-97.75188399999999,30.224958
114,Carya illinoinensis,Pecan,-97.749863,30.242811
115,Carya illinoinensis,Pecan,-97.75325,30.257640999999996
116,Carya illinoinensis,Pecan,-97.6966577768326,30.264034240015
117,Carya illinoinensis,Pecan,-97.70545542240141,30.258724320134203
118,Carya illinoinensis,Pecan,-97.76947975158691,30.2614395506388
119,Carya illinoinensis,Pecan,-97.73669242858891,30.2114227922609
120,Carya illinoinensis,Pecan,-97.72709002,30.27939297
121,Carya illinoinensis,Pecan,-97.73436711,30.28824097
122,Carya illinoinensis,Pecan,-97.73488063,30.28958318
123,Carya illinoinensis,Pecan,-97.73443797,30.27895082
124,Carya illinoinensis,Pecan,-97.73473439,30.29068479
125,Carya illinoinensis,Pecan,-97.73549145,30.29141404
126,Carya illinoinensis,Pecan,-97.7358863,30.29175104
127,Carya illinoinensis,Pecan,-97.73434836,30.28486126
128,Carya illinoinensis,Pecan,-97.73410566,30.28098896
129,Carya illinoinensis,Pecan,-97.7396816,30.28888311
130,Carya illinoinensis,Pecan,-97.73638922,30.2908251
131,Carya illinoinensis,Pecan,-97.73166488,30.27787348
132,Carya illinoinensis,Pecan,-97.73399915,30.28586639
133,Carya illinoinensis,Pecan,-97.73414132,30.27602665
134,Carya illinoinensis,Pecan,-97.73485498,30.28423593
135,Carya illinoinensis,Pecan,-97.72261858,30.28489667
136,Carya illinoinensis,Pecan,-97.73369948,30.28963932
137,Carya illinoinensis,Pecan,-97.73482239,30.28481193
138,Carya illinoinensis,Pecan,-97.73330105,30.28834314
139,Carya illinoinensis,Pecan,-97.73428658,30.27881414
140,Carya illinoinensis,Pecan,-97.73419351,30.27889151
141,Carya illinoinensis,Pecan,-97.73476862,30.27878486
142,Carya illinoinensis,Pecan,-97.73467647,30.27880678
143,Carya illinoinensis,Pecan,-97.73428291,30.2787483
144,Carya illinoinensis,Pecan,-97.73404081,30.278630300000003
145,Carya illinoinensis,Pecan,-97.73402155,30.27855457
146,Carya illinoinensis,Pecan,-97.73392381,30.27850707
147,Carya illinoinensis,Pecan,-97.73397755,30.27843561
148,Carya illinoinensis,Pecan,-97.73389562,30.27844005
149,Carya illinoinensis,Pecan,-97.73398684,30.27852568
150,Carya illinoinensis,Pecan,-97.73442149,30.27869063
151,Carya illinoinensis,Pecan,-97.73511669,30.28009022
152,Carya illinoinensis,Pecan,-97.73502885,30.27622846
153,Carya illinoinensis,Pecan,-97.73478547,30.27655808
154,Carya illinoinensis,Pecan,-97.73483201,30.27658372
155,Carya illinoinensis,Pecan,-97.73490617,30.27655863
156,Carya illinoinensis,Pecan,-97.73484961,30.27651556
157,Carya illinoinensis,Pecan,-97.73481619,30.27649891
158,Carya illinoinensis,Pecan,-97.73483486,30.2764657
159,Carya illinoinensis,Pecan,-97.73499023,30.27627226
160,Carya illinoinensis,Pecan,-97.73473573,30.27711899
161,Carya illinoinensis,Pecan,-97.73419222,30.27748746
162,Carya illinoinensis,Pecan,-97.73497852,30.27581984
163,Carya illinoinensis,Pecan,-97.7346632,30.27625628
164,Carya illinoinensis,Pecan,-97.73464347,30.27629449
165,Carya illinoinensis,Pecan,-97.73460686,30.27626369
166,Carya illinoinensis,Pecan,-97.73470849,30.27648762
167,Carya illinoinensis,Pecan,-97.73462374,30.27644674
168,Carya illinoinensis,Pecan,-97.73461590000001,30.276519899999997
169,Carya illinoinensis,Pecan,-97.73457996,30.276473600000003
170,Carya illinoinensis,Pecan,-97.73455705,30.27642104
171,Carya illinoinensis,Pecan,-97.73457756,30.27631117
172,Carya illinoinensis,Pecan,-97.73462151,30.27627812
173,Carya illinoinensis,Pecan,-97.73451325,30.27687382
174,Carya illinoinensis,Pecan,-97.73437909,30.27712744
175,Carya illinoinensis,Pecan,-97.73423752,30.27718931
176,Carya illinoinensis,Pecan,-97.73433429,30.27729576
177,Carya illinoinensis,Pecan,-97.73501284,30.28424372
178,Carya illinoinensis,Pecan,-97.73468211,30.28365515
