,s_name_x,en_name_x,lon_x,lat_x,s_name_y,en_name_y,lon_y,lat_y,distance_ft,resistance
162564,Carya illinoinensis,Pecan,-97.73436711,30.28824097,Morus alba,White mulberry,-97.73428879,30.28813291,46.505647523187626,1
182851,Carya illinoinensis,Pecan,-97.73488063,30.28958318,Morus alba,White mulberry,-97.73481364,30.28964836,31.79206737872223,1
203141,Carya illinoinensis,Pecan,-97.73443797,30.27895082,Morus alba,White mulberry,-97.73432807,30.27890775,38.02192938891818,1
243715,Carya illinoinensis,Pecan,-97.73549145,30.29141404,Morus alba,White mulberry,-97.73554985,30.29151146,40.0189777975053,1
245971,Carya illinoinensis,Pecan,-97.73549145,30.29141404,Borassus,Palymra palm,-97.73534676,30.29144043,46.58379145067844,1
304583,Carya illinoinensis,Pecan,-97.73410566,30.28098896,Morus alba,White mulberry,-97.73400584,30.28100248,31.83160302686354,1
304584,Carya illinoinensis,Pecan,-97.73410566,30.28098896,Morus alba,White mulberry,-97.73402676,30.28091096,37.7830329127127,1
304602,Carya illinoinensis,Pecan,-97.73410566,30.28098896,Morus alba,White mulberry,-97.7340667,30.28105715,27.73972957287313,1
324502,Carya illinoinensis,Pecan,-97.73410566,30.28098896,Parthenocissus quinquefolia,Virginia creeper,-97.7340833099,30.2809832432,7.343520871496556,1
388022,Carya illinoinensis,Pecan,-97.73399915,30.28586639,Cornus mas,Cornelian cherry dogwood,-97.73394154,30.28589426,20.802442668498447,1
527694,Carya illinoinensis,Pecan,-97.73428658,30.27881414,Morus alba,White mulberry,-97.73417064,30.27878398,38.14758472758129,1
527717,Carya illinoinensis,Pecan,-97.73428658,30.27881414,Morus alba,White mulberry,-97.73432807,30.27890775,36.56620489050589,1
527718,Carya illinoinensis,Pecan,-97.73428658,30.27881414,Morus alba,White mulberry,-97.73413832,30.27882692,46.94077562556883,1
527759,Carya illinoinensis,Pecan,-97.73428658,30.27881414,Morus alba,White mulberry,-97.73420559,30.27886348,31.225592115494834,1
547980,Carya illinoinensis,Pecan,-97.73419351,30.27889151,Morus alba,White mulberry,-97.73417064,30.27878398,39.884497135035716,1
548003,Carya illinoinensis,Pecan,-97.73419351,30.27889151,Morus alba,White mulberry,-97.73432807,30.27890775,42.80449587857694,1
548004,Carya illinoinensis,Pecan,-97.73419351,30.27889151,Morus alba,White mulberry,-97.73413832,30.27882692,29.2839034353402,1
548045,Carya illinoinensis,Pecan,-97.73419351,30.27889151,Morus alba,White mulberry,-97.73420559,30.27886348,10.910940835379911,1
588612,Carya illinoinensis,Pecan,-97.73467647,30.27880678,Morus alba,White mulberry,-97.73461039,30.278801399999995,20.910532658322317,1
608838,Carya illinoinensis,Pecan,-97.73428291,30.2787483,Morus alba,White mulberry,-97.73417064,30.27878398,37.68925757096268,1
608903,Carya illinoinensis,Pecan,-97.73428291,30.2787483,Morus alba,White mulberry,-97.73420559,30.27886348,48.569367351121564,1
629129,Carya illinoinensis,Pecan,-97.73404081,30.278630300000003,Morus alba,White mulberry,-97.73393541,30.27860789,34.197489248328026,1
649415,Carya illinoinensis,Pecan,-97.73402155,30.27855457,Morus alba,White mulberry,-97.73393541,30.27860789,33.389357262138624,1
649416,Carya illinoinensis,Pecan,-97.73402155,30.27855457,Morus alba,White mulberry,-97.73397173,30.27847496,33.01261812108722,1
669701,Carya illinoinensis,Pecan,-97.73392381,30.27850707,Morus alba,White mulberry,-97.73393541,30.27860789,36.96152366743578,1
669702,Carya illinoinensis,Pecan,-97.73392381,30.27850707,Morus alba,White mulberry,-97.73397173,30.27847496,19.108674952148654,1
689988,Carya illinoinensis,Pecan,-97.73397755,30.27843561,Morus alba,White mulberry,-97.73397173,30.27847496,14.472002137958947,1
710274,Carya illinoinensis,Pecan,-97.73389562,30.27844005,Morus alba,White mulberry,-97.73397173,30.27847496,27.15051296931353,1
730559,Carya illinoinensis,Pecan,-97.73398684,30.27852568,Morus alba,White mulberry,-97.73393541,30.27860789,34.08822185467716,1
730560,Carya illinoinensis,Pecan,-97.73398684,30.27852568,Morus alba,White mulberry,-97.73397173,30.27847496,19.105836280833916,1
771133,Carya illinoinensis,Pecan,-97.73511669,30.28009022,Morus alba,White mulberry,-97.73515107,30.28007064,12.974446622048418,1
954440,Carya illinoinensis,Pecan,-97.73473573,30.27711899,Umbellularia californica,California laurel,-97.73469022,30.27717533,25.060438578887098,1
1015305,Carya illinoinensis,Pecan,-97.7346632,30.27625628,Parkinsonia aculeata,Mexican palo verde,-97.73465488,30.27614813,39.541465359691514,1
1034853,Carya illinoinensis,Pecan,-97.73464347,30.27629449,Morus alba,White mulberry,-97.73465514,30.27641101,42.666677125324945,1
1055877,Carya illinoinensis,Pecan,-97.73460686,30.27626369,Parkinsonia aculeata,Mexican palo verde,-97.73465488,30.27614813,44.79016847995128,1
